# r   PMF(r)   Fit(r)
9.175000  -0.785540  -0.779775
9.200000  -0.785645  -0.779706
9.225000  -0.785667  -0.779617
9.250000  -0.785599  -0.779502
9.275000  -0.785439  -0.779357
9.300000  -0.785181  -0.779176
9.325000  -0.784822  -0.778955
9.350000  -0.784362  -0.778688
9.375000  -0.783798  -0.778374
9.400000  -0.783130  -0.778008
9.425000  -0.782358  -0.777588
9.450000  -0.781482  -0.777111
9.475000  -0.780504  -0.776577
9.500000  -0.779426  -0.775984
9.525000  -0.778249  -0.775330
9.550000  -0.776976  -0.774615
9.575000  -0.775609  -0.773839
9.600000  -0.774153  -0.773003
9.625000  -0.772610  -0.772106
9.650000  -0.770984  -0.771150
9.675000  -0.769279  -0.770135
9.700000  -0.767498  -0.769063
9.725000  -0.765646  -0.767935
9.750000  -0.763726  -0.766753
9.775000  -0.761744  -0.765520
9.800000  -0.759703  -0.764236
9.825000  -0.757608  -0.762904
9.850000  -0.755463  -0.761526
9.875000  -0.753272  -0.760104
9.900000  -0.751041  -0.758641
9.925000  -0.748772  -0.757140
9.950000  -0.746471  -0.755602
9.975000  -0.744141  -0.754029
10.000000  -0.741787  -0.752425
10.025000  -0.739413  -0.750792
10.050000  -0.737023  -0.749131
10.075000  -0.734621  -0.747445
10.100000  -0.732211  -0.745736
10.125000  -0.729795  -0.744007
10.150000  -0.727379  -0.742258
10.175000  -0.724964  -0.740493
10.200000  -0.722556  -0.738713
10.225000  -0.720156  -0.736920
10.250000  -0.717768  -0.735116
10.275000  -0.715394  -0.733301
10.300000  -0.713038  -0.731479
10.325000  -0.710702  -0.729649
10.350000  -0.708389  -0.727814
10.375000  -0.706100  -0.725974
10.400000  -0.703838  -0.724131
10.425000  -0.701605  -0.722286
10.450000  -0.699402  -0.720440
10.475000  -0.697231  -0.718593
10.500000  -0.695094  -0.716747
10.525000  -0.692991  -0.714902
10.550000  -0.690925  -0.713060
10.575000  -0.688894  -0.711220
10.600000  -0.686902  -0.709384
10.625000  -0.684946  -0.707551
10.650000  -0.683030  -0.705722
10.675000  -0.681151  -0.703899
10.700000  -0.679311  -0.702080
10.725000  -0.677509  -0.700267
10.750000  -0.675744  -0.698459
10.775000  -0.674017  -0.696658
10.800000  -0.672327  -0.694863
10.825000  -0.670673  -0.693074
10.850000  -0.669054  -0.691292
10.875000  -0.667469  -0.689516
10.900000  -0.665918  -0.687748
10.925000  -0.664399  -0.685986
10.950000  -0.662911  -0.684232
10.975000  -0.661453  -0.682485
11.000000  -0.660024  -0.680745
11.025000  -0.658623  -0.679012
11.050000  -0.657248  -0.677287
11.075000  -0.655897  -0.675569
11.100000  -0.654571  -0.673858
11.125000  -0.653266  -0.672155
11.150000  -0.651983  -0.670459
11.175000  -0.650719  -0.668771
11.200000  -0.649473  -0.667089
11.225000  -0.648244  -0.665416
11.250000  -0.647031  -0.663749
11.275000  -0.645831  -0.662090
11.300000  -0.644643  -0.660438
11.325000  -0.643466  -0.658793
11.350000  -0.642299  -0.657156
11.375000  -0.641139  -0.655525
11.400000  -0.639986  -0.653902
11.425000  -0.638838  -0.652286
11.450000  -0.637693  -0.650677
11.475000  -0.636550  -0.649075
11.500000  -0.635407  -0.647480
11.525000  -0.634264  -0.645892
11.550000  -0.633118  -0.644311
11.575000  -0.631968  -0.642737
11.600000  -0.630814  -0.641169
11.625000  -0.629653  -0.639609
11.650000  -0.628486  -0.638055
11.675000  -0.627310  -0.636507
11.700000  -0.626125  -0.634967
11.725000  -0.624930  -0.633433
11.750000  -0.623725  -0.631905
11.775000  -0.622509  -0.630385
11.800000  -0.621281  -0.628870
11.825000  -0.620041  -0.627362
11.850000  -0.618789  -0.625861
11.875000  -0.617524  -0.624366
11.900000  -0.616247  -0.622877
11.925000  -0.614958  -0.621394
11.950000  -0.613657  -0.619918
11.975000  -0.612344  -0.618448
12.000000  -0.611019  -0.616984
12.025000  -0.609683  -0.615526
12.050000  -0.608338  -0.614075
12.075000  -0.606982  -0.612629
12.100000  -0.605617  -0.611189
12.125000  -0.604244  -0.609756
12.150000  -0.602864  -0.608328
12.175000  -0.601477  -0.606906
12.200000  -0.600085  -0.605491
12.225000  -0.598688  -0.604081
12.250000  -0.597287  -0.602676
12.275000  -0.595884  -0.601278
12.300000  -0.594479  -0.599885
12.325000  -0.593073  -0.598498
12.350000  -0.591668  -0.597117
12.375000  -0.590264  -0.595741
12.400000  -0.588862  -0.594371
12.425000  -0.587464  -0.593006
12.450000  -0.586070  -0.591647
12.475000  -0.584681  -0.590294
12.500000  -0.583298  -0.588946
12.525000  -0.581922  -0.587603
12.550000  -0.580554  -0.586266
12.575000  -0.579194  -0.584934
12.600000  -0.577842  -0.583608
12.625000  -0.576501  -0.582286
12.650000  -0.575170  -0.580970
12.675000  -0.573849  -0.579660
12.700000  -0.572539  -0.578354
12.725000  -0.571241  -0.577054
12.750000  -0.569955  -0.575758
12.775000  -0.568682  -0.574468
12.800000  -0.567420  -0.573183
12.825000  -0.566171  -0.571903
12.850000  -0.564935  -0.570628
12.875000  -0.563712  -0.569359
12.900000  -0.562501  -0.568094
12.925000  -0.561303  -0.566834
12.950000  -0.560118  -0.565578
12.975000  -0.558945  -0.564328
13.000000  -0.557785  -0.563083
13.025000  -0.556636  -0.561842
13.050000  -0.555499  -0.560606
13.075000  -0.554374  -0.559376
13.100000  -0.553260  -0.558149
13.125000  -0.552157  -0.556928
13.150000  -0.551063  -0.555711
13.175000  -0.549980  -0.554499
13.200000  -0.548907  -0.553291
13.225000  -0.547842  -0.552088
13.250000  -0.546786  -0.550890
13.275000  -0.545737  -0.549696
13.300000  -0.544696  -0.548507
13.325000  -0.543663  -0.547322
13.350000  -0.542635  -0.546142
13.375000  -0.541613  -0.544966
13.400000  -0.540597  -0.543795
13.425000  -0.539585  -0.542628
13.450000  -0.538578  -0.541465
13.475000  -0.537575  -0.540307
13.500000  -0.536575  -0.539153
13.525000  -0.535577  -0.538003
13.550000  -0.534582  -0.536858
13.575000  -0.533589  -0.535717
13.600000  -0.532597  -0.534580
13.625000  -0.531606  -0.533448
13.650000  -0.530616  -0.532319
13.675000  -0.529626  -0.531195
13.700000  -0.528636  -0.530075
13.725000  -0.527646  -0.528959
13.750000  -0.526655  -0.527847
13.775000  -0.525663  -0.526739
13.800000  -0.524670  -0.525636
13.825000  -0.523675  -0.524536
13.850000  -0.522679  -0.523440
13.875000  -0.521682  -0.522349
13.900000  -0.520683  -0.521261
13.925000  -0.519682  -0.520177
13.950000  -0.518679  -0.519097
13.975000  -0.517674  -0.518021
14.000000  -0.516667  -0.516949
14.025000  -0.515658  -0.515881
14.050000  -0.514648  -0.514817
14.075000  -0.513636  -0.513756
14.100000  -0.512622  -0.512700
14.125000  -0.511607  -0.511647
14.150000  -0.510590  -0.510598
14.175000  -0.509572  -0.509552
14.200000  -0.508553  -0.508510
14.225000  -0.507533  -0.507472
14.250000  -0.506512  -0.506438
14.275000  -0.505491  -0.505407
14.300000  -0.504470  -0.504380
14.325000  -0.503448  -0.503357
14.350000  -0.502427  -0.502337
14.375000  -0.501406  -0.501321
14.400000  -0.500385  -0.500308
14.425000  -0.499366  -0.499299
14.450000  -0.498347  -0.498294
14.475000  -0.497330  -0.497292
14.500000  -0.496315  -0.496293
14.525000  -0.495302  -0.495298
14.550000  -0.494290  -0.494307
14.575000  -0.493282  -0.493318
14.600000  -0.492276  -0.492334
14.625000  -0.491272  -0.491352
14.650000  -0.490272  -0.490374
14.675000  -0.489276  -0.489400
14.700000  -0.488282  -0.488429
14.725000  -0.487293  -0.487461
14.750000  -0.486308  -0.486496
14.775000  -0.485327  -0.485535
14.800000  -0.484351  -0.484577
14.825000  -0.483379  -0.483622
14.850000  -0.482413  -0.482671
14.875000  -0.481451  -0.481723
14.900000  -0.480494  -0.480778
14.925000  -0.479543  -0.479836
14.950000  -0.478597  -0.478897
14.975000  -0.477657  -0.477962
15.000000  -0.476722  -0.477030
15.025000  -0.475793  -0.476100
15.050000  -0.474870  -0.475174
15.075000  -0.473953  -0.474252
15.100000  -0.473042  -0.473332
15.125000  -0.472137  -0.472415
15.150000  -0.471238  -0.471501
15.175000  -0.470345  -0.470591
15.200000  -0.469457  -0.469683
15.225000  -0.468576  -0.468779
15.250000  -0.467701  -0.467877
15.275000  -0.466831  -0.466979
15.300000  -0.465967  -0.466083
15.325000  -0.465109  -0.465190
15.350000  -0.464257  -0.464301
15.375000  -0.463410  -0.463414
15.400000  -0.462568  -0.462530
15.425000  -0.461732  -0.461649
15.450000  -0.460901  -0.460771
15.475000  -0.460074  -0.459896
15.500000  -0.459253  -0.459024
15.525000  -0.458436  -0.458154
15.550000  -0.457623  -0.457288
15.575000  -0.456815  -0.456424
15.600000  -0.456011  -0.455563
15.625000  -0.455210  -0.454705
15.650000  -0.454414  -0.453849
15.675000  -0.453621  -0.452997
15.700000  -0.452831  -0.452147
15.725000  -0.452044  -0.451299
15.750000  -0.451260  -0.450455
15.775000  -0.450479  -0.449613
15.800000  -0.449701  -0.448774
15.825000  -0.448925  -0.447938
15.850000  -0.448151  -0.447104
15.875000  -0.447379  -0.446273
15.900000  -0.446608  -0.445445
15.925000  -0.445840  -0.444619
15.950000  -0.445073  -0.443796
15.975000  -0.444307  -0.442976
16.000000  -0.443542  -0.442158
16.025000  -0.442779  -0.441342
16.050000  -0.442016  -0.440530
16.075000  -0.441254  -0.439719
16.100000  -0.440493  -0.438912
16.125000  -0.439732  -0.438107
16.150000  -0.438972  -0.437304
16.175000  -0.438212  -0.436504
16.200000  -0.437452  -0.435707
16.225000  -0.436693  -0.434912
16.250000  -0.435934  -0.434119
16.275000  -0.435174  -0.433329
16.300000  -0.434415  -0.432541
16.325000  -0.433657  -0.431756
16.350000  -0.432898  -0.430973
16.375000  -0.432139  -0.430193
16.400000  -0.431380  -0.429415
16.425000  -0.430621  -0.428640
16.450000  -0.429863  -0.427867
16.475000  -0.429104  -0.427096
16.500000  -0.428346  -0.426328
16.525000  -0.427588  -0.425562
16.550000  -0.426830  -0.424798
16.575000  -0.426073  -0.424037
16.600000  -0.425316  -0.423278
16.625000  -0.424559  -0.422521
16.650000  -0.423803  -0.421767
16.675000  -0.423047  -0.421015
16.700000  -0.422293  -0.420265
16.725000  -0.421539  -0.419517
16.750000  -0.420786  -0.418772
16.775000  -0.420033  -0.418029
16.800000  -0.419282  -0.417288
16.825000  -0.418533  -0.416550
16.850000  -0.417784  -0.415814
16.875000  -0.417037  -0.415079
16.900000  -0.416292  -0.414348
16.925000  -0.415548  -0.413618
16.950000  -0.414806  -0.412890
16.975000  -0.414065  -0.412165
17.000000  -0.413327  -0.411442
17.025000  -0.412590  -0.410721
17.050000  -0.411856  -0.410002
17.075000  -0.411124  -0.409286
17.100000  -0.410394  -0.408571
17.125000  -0.409666  -0.407859
17.150000  -0.408941  -0.407148
17.175000  -0.408218  -0.406440
17.200000  -0.407498  -0.405734
17.225000  -0.406781  -0.405030
17.250000  -0.406066  -0.404328
17.275000  -0.405355  -0.403628
17.300000  -0.404646  -0.402930
17.325000  -0.403939  -0.402234
17.350000  -0.403236  -0.401540
17.375000  -0.402536  -0.400849
17.400000  -0.401838  -0.400159
17.425000  -0.401144  -0.399471
17.450000  -0.400453  -0.398786
17.475000  -0.399764  -0.398102
17.500000  -0.399079  -0.397420
17.525000  -0.398397  -0.396740
17.550000  -0.397718  -0.396063
17.575000  -0.397042  -0.395387
17.600000  -0.396368  -0.394713
17.625000  -0.395698  -0.394041
17.650000  -0.395031  -0.393371
17.675000  -0.394367  -0.392703
17.700000  -0.393706  -0.392037
17.725000  -0.393047  -0.391372
17.750000  -0.392392  -0.390710
17.775000  -0.391739  -0.390050
17.800000  -0.391089  -0.389391
17.825000  -0.390442  -0.388734
17.850000  -0.389798  -0.388080
17.875000  -0.389156  -0.387427
17.900000  -0.388517  -0.386776
17.925000  -0.387880  -0.386126
17.950000  -0.387246  -0.385479
17.975000  -0.386614  -0.384833
18.000000  -0.385984  -0.384190
18.025000  -0.385357  -0.383548
18.050000  -0.384732  -0.382908
18.075000  -0.384109  -0.382269
18.100000  -0.383488  -0.381633
18.125000  -0.382869  -0.380998
18.150000  -0.382252  -0.380365
18.175000  -0.381637  -0.379734
